,seed,informative,next_return,last_return_1,last_return_2,last_return_3,last_imbalance_1,last_imbalance_2,last_imbalance_3,round_number
0,22,1,29.7625447699681,-5.68920268053658,22.2891523787032,1.07104376486419,5.12415862239433,-10.1468310943389,4.3039520271798,1
1,33,1,10.9465251116429,32.6590181863379,21.6468060679011,8.82052391007319,-2.20015469198876,1.24160550997466,12.6630991684209,2
2,49,1,11.8936778560018,-10.1853977511919,12.5154811784306,38.8839715884096,2.8658307319261,-21.3210976385385,-2.3943798839803,5
3,58,1,7.71708225676856,-9.77814212616732,-1.39817595849112,5.29324112113285,-2.11603575509082,-17.6796462515763,3.70789668601298,6
4,60,1,22.0771797811744,47.3811941483337,13.4234317844869,8.75461432690917,-0.975340860212439,13.0320504897888,-2.21137743569188,8
5,101,1,9.79071704878857,14.6385665354737,15.844096735168,24.0737931197775,8.06292600251389,2.23321597130995,7.15949760432317,9
6,174,1,27.2586554281825,13.8218822920126,-0.250439005096201,8.44894776093786,7.87455173359968,2.90834436816063,-1.48701483410063,11
7,190,1,5.67594590076985,-5.436994796927,10.1331033984203,24.4408380673617,-4.96211117372982,-2.03997595221337,-12.8998760055195,14
8,154,0,16.2241467682678,3.1022221271053,12.2756606991691,17.397905680854,8.9505230568529,6.74366919495589,-15.0472222177225,3
9,260,0,-2.86297242693207,14.0018110847721,-1.74472968875482,31.771128632246,4.02575921021878,6.85983014535264,10.7892074916721,4
10,320,0,20.8485847322204,25.49751207639,37.5698937044198,24.7105073499691,-6.48555498483981,-2.617848912358,-2.98849144873664,7
11,334,0,-3.044953941097,11.1783122973334,4.4398936706769,16.7984126757497,4.85375846149233,-4.63099907973659,6.63541379134778,10
12,418,0,7.45550661474446,31.9155805663154,10.2734276249618,-0.483741891526274,-11.6300472191188,-6.93608184903617,3.82501739300896,12
13,429,0,6.84938919260437,8.88013136617602,5.9748227082548,16.5796106996512,-8.01197406788387,7.83354759727216,9.6579869817733,13
