"seed","informative","next_return","last_return","last_imbalance"
22,1,33.4531809624602,-10.8615033506707,6.40519827799291
33,1,9.9331563895536,37.0737727329223,-2.75019336498595
49,1,11.1170973200022,-16.4817471889899,3.58228841490762
58,1,5.8963528209607,-15.9726776577092,-2.64504469386352
60,1,23.846474726468,55.4764926854171,-1.21917607526555
101,1,8.48839631098572,14.5482081693421,10.0786575031424
174,1,30.3233192852281,13.5273528650157,9.8431896669996
190,1,3.34493237596231,-10.5462434961588,-6.20263896716228
154,0,16.5301834603348,0.127777658881623,11.1881538210661
260,0,-7.32871553366508,13.7522638559651,5.03219901277347
320,0,22.3107309152755,28.1218900954874,-8.10694373104976
334,0,-7.55619242637125,10.2228903716668,6.06719807686542
418,0,5.56938326843058,36.1444757078942,-14.5375590238985
429,0,4.81173649075547,7.35016420772002,-10.0149675848548
489,0,24.0871502882845,6.34594210355406,0.11793627978915
697,0,3.34719012919929,44.7016632531021,5.91694409761102
