session_code,participant_code,offer_price,transaction_price,discount,purchased,last_return,last_imbalance,informative,belief_informative,belief_confidence,return_forecast,forecast_confidence,investment_amount,age,gender,education,finance_course,fin_literacy_score
cbctgbhm,7seyalmb,5,0,5,1.0,14.5282644745692,7.35487993020429,1,1.0,3.0,20.0,3.0,100.0,32.0,male,bachelor,0.0,3.0
cbctgbhm,xvccu8m7,10,0,10,1.0,15.1098174886843,-18.5046274258981,1,1.0,4.0,18.0,4.0,90.0,31.0,male,bachelor,1.0,3.0
cbctgbhm,zplu0a28,15,0,15,1.0,14.5282644745692,7.35487993020429,1,0.0,3.0,10.0,3.0,20.0,24.0,female,bachelor,0.0,3.0
cbctgbhm,jwend8bc,5,3,2,1.0,15.1098174886843,-18.5046274258981,1,1.0,4.0,1.0,3.0,10.0,59.0,male,bachelor,0.0,3.0
cbctgbhm,jng94to2,10,3,7,1.0,15.1098174886843,-18.5046274258981,1,1.0,3.0,3.0,3.0,97.0,29.0,male,highschool,1.0,3.0
cbctgbhm,rdgrgymj,15,3,12,0.0,14.5282644745692,7.35487993020429,1,,,15.0,3.0,70.0,46.0,female,bachelor,0.0,2.0
cbctgbhm,sg424v4k,10,6,4,0.0,14.5282644745692,7.35487993020429,1,,,15.0,4.0,75.0,67.0,male,bachelor,0.0,3.0
cbctgbhm,oyhb2pry,15,6,9,1.0,14.5282644745692,7.35487993020429,1,0.0,5.0,30.0,5.0,80.0,29.0,male,bachelor,1.0,2.0
cbctgbhm,p9trvu7y,15,9,6,0.0,15.6552619854883,-10.6145146455845,0,,,0.0,2.0,0.0,46.0,female,highschool,0.0,3.0
cbctgbhm,sy1c2sos,5,0,5,0.0,15.3352032889933,8.30613918663683,0,,,12.0,3.0,60.0,27.0,female,bachelor,1.0,3.0
cbctgbhm,mjss6fnp,10,0,10,0.0,15.1098174886843,-18.5046274258981,1,,,16.0,2.0,20.0,57.0,female,bachelor,0.0,3.0
cbctgbhm,hls3tlay,15,0,15,1.0,15.1098174886843,-18.5046274258981,1,1.0,5.0,0.0,2.0,0.0,38.0,male,highschool,0.0,3.0
cbctgbhm,iy7ug43d,5,0,5,1.0,15.1098174886843,-18.5046274258981,1,1.0,4.0,3.0,1.0,5.0,40.0,female,graduate,0.0,3.0
cbctgbhm,a7mrklx1,15,0,15,1.0,14.5282644745692,7.35487993020429,1,1.0,4.0,28.0,4.0,53.0,53.0,female,some_college,0.0,3.0
cbctgbhm,9xqzwuul,5,3,2,1.0,14.5282644745692,7.35487993020429,1,0.0,3.0,16.0,2.0,60.0,23.0,female,some_college,1.0,3.0
cbctgbhm,oltqk75z,10,3,7,1.0,15.6552619854883,-10.6145146455845,0,0.0,3.0,12.0,3.0,25.0,33.0,male,graduate,0.0,3.0
cbctgbhm,6sldcquf,15,3,12,1.0,15.1098174886843,-18.5046274258981,1,0.0,4.0,15.0,3.0,97.0,26.0,female,bachelor,0.0,3.0
cbctgbhm,q4mqxy2w,15,9,6,1.0,15.3352032889933,8.30613918663683,0,1.0,3.0,16.0,2.0,45.0,29.0,female,bachelor,1.0,3.0
cbctgbhm,kdpevhy8,5,0,5,1.0,15.3352032889933,8.30613918663683,0,0.0,4.0,16.0,3.0,100.0,39.0,male,graduate,1.0,3.0
cbctgbhm,jwh262gr,10,0,10,1.0,14.5282644745692,7.35487993020429,1,1.0,5.0,20.0,5.0,100.0,64.0,male,some_college,0.0,3.0
